City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Usinsk,RU,65.9939,57.5281,9.72,95,100,9.37,light snow
104,Boende,CD,-0.2167,20.8667,67.62,98,89,1.34,overcast clouds
105,Hokitika,NZ,-42.7167,170.9667,57.65,72,0,3.02,clear sky
106,Ust-Kut,RU,56.7938,105.7672,25.41,96,100,4.63,light snow
107,Mayya,RU,61.7333,130.2811,-22.68,100,100,1.45,overcast clouds
108,Cape Town,ZA,-33.9258,18.4232,66.09,62,0,11.5,clear sky
109,Komsomolskiy,UZ,40.4272,71.7189,41.72,81,76,4.61,mist
110,Kavaratti,IN,10.5669,72.642,80.11,77,96,1.97,overcast clouds
111,Mopipi,BW,-21.1833,24.8833,82.38,47,100,2.53,overcast clouds
112,Airai,TL,-8.9266,125.4092,61.75,91,100,1.28,overcast clouds
113,Kavieng,PG,-2.5744,150.7967,82.98,73,100,14.9,overcast clouds
114,Dosso,NE,13.049,3.1937,83.89,19,6,9.06,clear sky
115,Morales,CO,2.757,-76.6172,68.47,81,99,4.32,overcast clouds
116,Saint-Philippe,RE,-21.3585,55.7679,71.19,87,93,14.2,light rain
117,Gasa,PS,31.5,34.4667,73.29,62,0,12.53,clear sky
118,East London,ZA,-33.0153,27.9116,64.83,74,6,13.38,clear sky
119,Sabang,ID,5.8933,95.3214,77.29,86,100,8.3,light rain
120,Kruisfontein,ZA,-34.0033,24.7314,58.89,88,0,5.35,clear sky
121,Chuy,UY,-33.6971,-53.4616,72.61,78,100,11.7,light rain
122,Shingu,JP,33.7333,135.9833,55.45,85,3,6.98,clear sky
123,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,78,100,9.22,overcast clouds
124,Oriximina,BR,-1.7656,-55.8661,94.71,40,83,6.33,broken clouds
125,Shiyan,CN,32.6475,110.7781,46.09,89,100,3.0,overcast clouds
126,Hobart,AU,-42.8794,147.3294,53.46,97,75,2.3,light rain
127,Bredasdorp,ZA,-34.5322,20.0403,59.99,79,0,3.04,clear sky
128,Moranbah,AU,-22.0016,148.0466,70.27,66,98,2.3,overcast clouds
129,Krasnoyarskiy,RU,51.965,59.8967,35.89,98,100,18.57,light rain
130,Tiksi,RU,71.6872,128.8694,-12.24,96,100,4.83,overcast clouds
131,Kolokani,ML,13.5728,-8.0339,83.12,23,100,3.96,overcast clouds
132,Vila Velha,BR,-20.3297,-40.2925,82.35,82,20,20.71,few clouds
133,Torrington,US,41.8007,-73.1212,50.65,64,99,13.0,overcast clouds
134,Chipinge,ZW,-20.1883,32.6236,66.63,88,100,3.67,light rain
135,Keetmanshoop,NA,-26.5833,18.1333,73.04,12,0,8.12,clear sky
136,Medina Del Campo,ES,41.3124,-4.9141,57.7,62,41,8.43,scattered clouds
137,Pevek,RU,69.7008,170.3133,-17.5,97,79,5.84,broken clouds
138,Provideniya,RU,64.3833,-173.3,12.83,62,3,5.17,clear sky
139,Banepa,NP,27.6298,85.5214,52.12,87,20,3.44,few clouds
140,Yulara,AU,-25.2406,130.9889,61.75,53,0,16.17,clear sky
141,Ahipara,NZ,-35.1667,173.1667,60.01,83,6,7.34,clear sky
142,Inta,RU,66.0317,60.1659,14.95,96,100,3.58,light snow
143,Constitucion,CL,-35.3333,-72.4167,62.22,64,10,7.99,clear sky
144,Inverbervie,GB,56.8446,-2.28,52.43,93,46,7.14,scattered clouds
145,Opuwo,NA,-18.0607,13.84,71.11,20,3,7.76,clear sky
146,Katsina,NG,12.9894,7.6006,78.76,17,84,9.98,broken clouds
147,Bardiyah,LY,31.7561,25.0865,65.28,60,0,7.23,clear sky
148,Nanortalik,GL,60.1432,-45.2371,39.22,67,100,20.78,overcast clouds
149,Nemuro,JP,43.3236,145.575,42.48,74,50,40.26,scattered clouds
150,Mount Gambier,AU,-37.8333,140.7667,57.11,94,100,17.27,overcast clouds
151,Gat,IL,31.61,34.7642,73.4,57,0,3.24,clear sky
152,Quzhou,CN,28.9594,118.8686,58.24,79,87,7.63,overcast clouds
153,Mayo,US,38.8876,-76.5119,51.24,49,0,17.27,clear sky
154,Jalu,LY,29.0331,21.5482,66.76,39,56,7.2,broken clouds
155,Pyay,MM,18.8167,95.2167,70.27,80,46,5.82,scattered clouds
156,Laguna,US,38.421,-121.4238,59.14,49,0,14.97,clear sky
157,Itapirapua,BR,-15.8233,-50.6133,94.55,31,100,5.99,overcast clouds
158,Hollola,FI,61.05,25.4333,36.39,93,20,2.21,few clouds
159,Bartlesville,US,36.7473,-95.9808,46.94,48,0,4.61,clear sky
160,Te Anau,NZ,-45.4167,167.7167,49.55,88,50,1.25,scattered clouds
161,Thap Than,TH,15.4606,99.8917,74.79,84,98,5.23,light rain
162,Campina Verde,BR,-19.5356,-49.4864,91.92,32,99,7.47,overcast clouds
163,Male,MV,4.1748,73.5089,80.55,89,75,11.5,broken clouds
164,Suntar,RU,62.1444,117.6319,-26.59,99,7,2.04,clear sky
165,Bonavista,CA,48.6499,-53.1147,35.17,69,100,11.21,overcast clouds
166,Bathsheba,BB,13.2167,-59.5167,84.81,74,20,18.41,few clouds
167,Shakawe,BW,-18.3667,21.85,79.61,48,24,5.75,few clouds
168,Purranque,CL,-40.9167,-73.1667,63.73,92,52,6.87,broken clouds
169,Kamina,CD,-8.7386,24.9906,64.54,96,100,3.76,overcast clouds
170,Fortuna,US,40.5982,-124.1573,52.93,86,0,1.01,clear sky
171,Lavrentiya,RU,65.5833,-171.0,14.16,75,0,6.11,clear sky
172,Morgan City,US,29.6994,-91.2068,60.01,38,0,11.5,clear sky
173,Liepaja,LV,56.5419,21.0367,37.38,100,100,1.14,fog
174,Karratha,AU,-20.7377,116.8463,75.25,46,0,3.47,light rain
175,Jiaojiang,CN,28.6803,121.4428,61.0,81,100,5.93,overcast clouds
176,Sibolga,ID,1.7427,98.7792,74.62,95,100,1.14,moderate rain
177,Saldanha,ZA,-33.0117,17.9442,62.65,84,0,13.06,clear sky
178,Okhotsk,RU,59.3833,143.3,6.6,79,67,9.28,broken clouds
179,Port Keats,AU,-14.25,129.55,80.82,80,100,5.68,overcast clouds
180,Marzuq,YE,14.4,46.4667,66.49,45,0,2.39,clear sky
181,Shemonaikha,KZ,50.6328,81.9056,33.08,78,100,14.97,overcast clouds
182,Durg,IN,21.1833,81.2833,64.87,52,1,2.28,clear sky
183,Porto Tolle,IT,44.9497,12.3245,54.86,76,100,6.71,light rain
184,Richards Bay,ZA,-28.783,32.0377,69.67,83,100,14.9,light rain
185,Atasu,KZ,48.6814,71.6433,29.19,67,100,22.57,overcast clouds
186,Rosoman,MK,41.5161,21.9497,53.26,74,42,1.99,scattered clouds
187,Belur,IN,13.1667,75.8667,64.76,97,71,6.13,broken clouds
188,Yangjiang,CN,21.85,111.9667,71.87,86,5,3.89,clear sky
189,Iranshahr,IR,27.2025,60.6848,71.94,33,0,4.61,clear sky
190,Tuatapere,NZ,-46.1333,167.6833,49.12,94,96,4.0,overcast clouds
191,Placido De Castro,BR,-10.3353,-67.1856,93.83,37,100,3.44,overcast clouds
192,Monastyrshchina,RU,54.3496,31.838,42.28,71,100,13.69,overcast clouds
193,Carnarvon,AU,-24.8667,113.6333,67.46,71,0,18.79,clear sky
194,Springbok,ZA,-29.6643,17.8865,58.84,54,4,5.03,clear sky
195,Griffith,US,41.5284,-87.4237,39.09,48,40,13.8,scattered clouds
196,Pangoa,PE,-12.1167,-73.0,83.26,62,100,4.38,overcast clouds
197,Vengerovo,RU,55.6848,76.7471,33.19,98,100,15.12,light snow
198,Ardakan,IR,32.31,54.0175,55.44,51,0,0.94,clear sky
199,Salym,RU,60.0625,71.4789,21.94,94,94,7.09,overcast clouds
200,Balykshi,KZ,47.0667,51.8667,44.6,76,75,22.37,mist
201,Bahadurganj,IN,26.2667,87.8167,66.04,64,0,3.22,clear sky
202,Daru,PG,-9.0763,143.2092,79.7,81,100,8.81,overcast clouds
203,Buena Vista,US,43.4203,-83.8986,35.78,57,100,14.97,overcast clouds
204,Anchorage,US,61.2181,-149.9003,40.64,75,100,15.01,shower rain
205,Ballina,AU,-28.8667,153.5667,72.01,83,100,14.79,overcast clouds
206,Ancud,CL,-41.8697,-73.8203,55.96,78,45,16.4,scattered clouds
207,Fairbanks,US,64.8378,-147.7164,23.34,86,0,6.91,clear sky
208,Lata,PT,40.1629,-8.3327,61.07,86,100,4.88,light rain
